"Country","cases","deads","mortality","deadsPER100k","casesPER100k","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","doctors_density","nursing_density"
"South Sudan",2787,55,2,0.5,24.9,8.44199508428574,9.76099446415901,19.1928148269653,31,2,437,2259,-1822,-62.5,0.264,0.413,2.001e+10,NA,NA,NA,NA,NA
"Spain",888968,33124,3.7,70.89,1901.34,70.616203546524,8.87312963604927,23.5657900571823,83,1892,492400,535900,-43500,-3.3,0.765,0.893,1.778e+12,25,"52","21",3.87,5.7295
"Sri Lanka",4844,13,0.3,0.06,22.62,42.9490357637405,3.81142050027847,49.7577965259552,66,68,12640,16660,-4020,-4.8,0.686,0.78,2.758e+11,30,"15","12",0.93,1.9966
"Sudan",13691,836,6.1,2,31.22,18.0079370737076,6.34180754423141,72.4796652793884,44,35,8198,13400,-5202,-4.4,0.332,0.507,1.774e+11,NA,NA,NA,0.26,0.6952
"Suriname",5058,107,2.1,18.58,862.21,58.5600435733795,6.2297698110342,26.3795912265778,71,199,546,806,-260,-7.1,0.559,0.724,8.688e+09,36,"38",NA,1.23,1.9281
"Sweden",98451,5894,6,57.88,974.83,83.6949229240417,11.0187463462353,15.0326043367386,86,4942,274800,269900,4900,0.9,0.874,0.937,5.18e+11,21.4,"57","25",3.98,11.8164
"Switzerland",64436,2096,3.3,24.61,744.53,30.492827296257,12.3463220894337,28.9469867944717,83,3036,223500,222100,1400,0.2,0.881,0.946,5.231e+11,17.92,"11.5","7.7",4.3,17.5357
"Syria",4774,228,4.8,1.35,27.28,NA,NA,NA,60,32,1033,3177,-2144,-8.7,NA,NA,5.028e+10,22,"15",NA,NA,NA
"Tajikistan",10260,79,0.8,0.87,107.57,29.003918170929,7.22881481051445,63.152414560318,68,17,2214,2316,-102,-1.4,0.574,0.656,2.843e+10,13,"13","18",NA,NA
"Tanzania",509,21,4.1,0.04,0.85,43.2494908571243,3.6454513669014,24.0961372852325,43,15,7872,9271,-1399,-2.7,0.397,0.528,1.625e+11,30,"30","18",NA,NA
"Thailand",3643,59,1.6,0.08,5.22,76.1276185512543,3.74601632356644,11.1465625464916,80,188,88000,107000,-19000,-8,0.635,0.765,1.236e+12,20,"35","7",0.81,2.9573
"Togo",1949,49,2.5,0.62,23.54,17.6572009921074,6.19951225817204,58.4201276302338,43,7,1469,1700,-231,-4.8,0.35,0.513,1.297e+10,NA,NA,NA,0.03,0.4201
"Trinidad and Tobago",5116,92,1.8,6.62,365.56,53.1997859477997,6.97873532772064,39.7774338722229,74,598,6916,7838,-922,-4.5,NA,NA,4.285e+10,25,"25","12.5",3.36,5.6441
"Tunisia",32556,478,1.5,4.13,275.46,57.1216464042664,7.23245739936829,39.1201615333557,70,143,9397,11610,-2213,-5.6,0.585,0.739,1.377e+11,30,"35","18",1.3,2.5136
"Turkey",337147,8895,2.6,10.81,399.75,77.7102708816528,4.21630293130875,17.3842012882233,74,346,173900,190400,-16500,-2,0.676,0.806,2.186e+12,22,"40","18",1.85,2.7107
"Uganda",9864,94,1,0.22,21.56,15.6988218426704,6.18775598704815,39.0714079141617,45,6,4019,5268,-1249,-4.7,0.387,0.528,8.919e+10,30,NA,"18",0.17,1.4686
"Ukraine",272671,5143,1.9,11.53,623.48,44.0236210823059,6.99532032012939,52.3169219493866,68,78,35600,38910,-3310,-3.2,0.701,0.75,3.696e+11,18,"18","20",NA,NA
"United Arab Emirates",107293,446,0.4,4.63,1084.82,71.9738960266113,3.33428233861923,18.8674405217171,76,977,83440,112400,-28960,-7.6,NA,NA,6.96e+11,0,"0","5",2.44,5.6829
"United Kingdom",620458,42965,6.9,64.62,913.97,79.4117748737335,9.63169410824776,15.9568220376968,87,3064,1077300,1120000,-43000,-1.1,0.845,0.92,2.925e+12,19,"47","20",2.79,8.2245
"United States",7804199,215085,2.8,65.74,2357.75,50.1581370830536,17.0612692832947,10.9929218888283,84,9386,6715033,7547180,-832147,-3.9,0.797,0.92,1.949e+13,21,"51.8","11.725",2.61,14.548
"Uruguay",2313,51,2.2,1.48,66.59,70.8348155021667,9.29621160030365,17.5494343042374,80,1127,17690,19900,-2210,-3.7,0.703,0.808,7.816e+10,25,"30","22",5.08,1.9412
"Uzbekistan",61319,509,0.8,1.54,183.21,43.2995527982712,6.41438513994217,53.431361913681,73,43,20110,19920,190,0.3,NA,NA,2.23e+11,12,"12","20",NA,NA
"Venezuela",83756,704,0.8,2.44,294.54,15.9386962652206,1.18121011182666,62.9878759384155,74,15,77890,160000,-82110,-38.1,0.6,0.726,3.816e+11,34,"34","16",NA,NA
"Vietnam",1110,35,3.2,0.04,1.14,48.6228704452515,5.53212836384773,45.2579379081726,75,63,54590,69370,-14780,-6.7,0.58,0.693,6.487e+11,20,"35","10",NA,NA
"Yemen",2052,596,29,2.09,6.88,NA,NA,NA,42,7,3467,5232,-1765,-6.9,0.316,0.463,7.363e+10,20,"15","2",0.53,0.7682
"Zambia",15549,345,2.2,1.99,84.58,38.6330097913742,4.47034128010273,11.8491314351559,53,26,4895,7050,-2155,-8.4,0.394,0.591,6.893e+10,35,"30","16",0.16,1.2988
"Zimbabwe",8021,230,2.9,1.59,53.97,51.6157925128937,6.63591623306274,20.6223398447037,54,57,3600,4800,-1200,-7,0.435,0.563,3.427e+10,25,"45","15",0.19,2.5972
