"Country","cases","deads","mortality","deadsPER100k","casesPER100k","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","doctors_density","nursing_density"
"China",90830,4739,5.2,0.34,6.31,56.6733479499817,5.15119321644306,36.0504120588303,79,250,3312308,3787245,-474937,-4,0.636,0.758,2.536e+13,25,"45","13",1.98,2.6621
"Colombia",919084,27985,3,56.37,1806.27,67.7996516227722,7.22628086805344,16.3084268569946,76,345,85140,95280,-10140,-3.3,0.585,0.761,7.116e+11,33,"35","19",2.11,1.2714
"Comoros",495,7,1.4,0.84,56.92,12.7480328083038,7.3843739926815,74.6471285820007,52,7,149,183,-34,-5.2,0.294,0.538,1.319e+09,NA,NA,NA,NA,NA
"Costa Rica",89223,1108,1.2,22.16,1751.49,73.509269952774,7.32879638671875,21.2553903460503,77,666,8262,11340,-3078,-5.2,0.639,0.794,8.394e+10,30,"25","13",2.95,3.1798
"Croatia",20621,327,1.6,8,502.31,82.82710313797,6.78913369774818,10.9732516109943,71,747,25790,26920,-1130,-2.1,0.768,0.837,1.021e+11,18,"40","25",NA,NA
"Cuba",6000,123,2.1,1.08,52.97,89.4421339035034,11.7113269865513,10.4826636612415,83,883,52360,60570,-8210,-10.1,NA,NA,1.37e+11,30,"50","20",8.3,7.7286
"Cyprus",2047,25,1.2,2.1,169.54,42.40702688694,6.68456926941872,44.6320354938507,78,734,7677,7875,-198,-0.9,0.788,0.873,3.178e+10,12.5,"35","19",NA,NA
"Denmark",33304,671,2,11.57,574.98,84.0240359306335,10.1082794368267,13.7384653091431,81,4874,173500,175500,-2000,-0.6,0.873,0.93,2.878e+11,22,"55.8584","25",NA,NA
"Djibouti",5426,61,1.1,6.36,549.19,47.0487862825394,3.31651791930199,26.5042155981064,47,33,700,865,-165,-8,NA,NA,3.64e+09,NA,NA,NA,NA,NA
"Dominican Republic",118843,2179,1.8,20.5,1095.54,46.0022807121277,6.13639503717422,44.7381973266602,74,199,11180,12770,-1590,-2.1,0.584,0.745,1.73e+11,27,"25","18",1.56,1.1697
"Ecuador",147315,12218,8.3,71.52,834.97,52.8208673000336,8.25742930173874,39.3985062837601,77,274,32300,37700,-5400,-5.5,0.607,0.758,1.93e+11,25,"35","12",2.04,2.8265
